BBL,Address,AllApps,grantedfullpart,grantedfull,Denied,CONH,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014
1021370065,38 FORT WASHINGTON AVE,6,2,2,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1021370091,86 FORT WASHINGTON AVE,6,1,0,4,yes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1021390500,227 HAVEN AVE,6,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1021420022,605 W 170TH ST,6,5,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0
2033010092,2773 BRIGGS AVE,6,2,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
2059500475,5415 TO 5445 NETHERLAND AVE,6,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
3001820007,304 TO 306 ATLANTIC AVE,6,6,1,0,0,0,0,1,0,1,0,1,2,0,0,0,0,1,0,0
3001870014,256 PACIFIC ST,6,6,3,0,0,0,0,1,0,0,0,0,0,0,1,2,0,2,0,0
3003500046,159 CARROLL ST,6,3,1,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
3009230037,4114 9TH AVE,6,5,5,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
3010850037,94 PROSPECT PARK W,6,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3019250060,459 DEKALB AVE,6,5,3,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0
3019300014,295 CLINTON AVE,6,5,5,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0
3032900044,1415 GREENE AVE,6,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
3050240014,65 OCEAN AVE,6,3,0,3,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
3059270043,7420 RIDGE BLVD,6,4,4,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0
3071790042,2411 E 3RD ST,6,4,3,2,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0
3071790058,2375 E 3RD ST,6,5,5,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1
4001900025,43-08 40TH ST,6,5,3,1,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0
4006330078,25-98 36TH ST,6,3,2,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
